Shape_Leng,Shape_Area,ADM2_FR,ADM2_PCODE,ADM2_REF,ADM2ALT1FR,ADM2ALT2FR,ADM1_FR,ADM1_PCODE,ADM0_FR,ADM0_PCODE,date,validOn,ValidTo
1.08766249750,0.06218779313,Sikensi,CI0302,,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.31872379322,0.04246427507,Sinématiali,CI2804,Sinematiali,,,Poro,CI28,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.86198350541,0.13914795335,Sinfra,CI2302,,,,Marahoue,CI23,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.44821158579,0.08939349021,Sipilou,CI3204,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
4.29952086336,0.40670919322,Soubré,CI2604,Soubre,,,Nawa,CI26,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.67408615756,0.07585622707,Taabo,CI0303,,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
4.23090905532,0.42203683704,Tabou,CI2902,,,,San Pedro,CI29,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.38062306980,0.34430963747,Taï,CI0903,,,,Cavally,CI09,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.96714250556,0.13682754598,Tanda,CI1404,,,,Gontougo,CI14,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.60340459794,0.23520141742,Téhini,CI0804,Tehini,,,Bounkani,CI08,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.63236168703,0.18998985085,Tengrela,CI0503,,,,Bagoue,CI05,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.62516320506,0.06793831920,Tiapoum,CI3004,,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.64745434777,0.19307423117,Tiassalé,CI0304,Tiassale,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.71138781495,0.19513075042,Tiébissou,CI0603,Tiebissou,,,Belier,CI06,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.52195741590,0.27660030033,Touba,CI0403,,,,Bafing,CI04,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.63929400730,0.06612322924,Toulepleu,CI0904,,,,Cavally,CI09,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.16401538340,0.19088336548,Toumodi,CI0604,,,,Belier,CI06,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.61760315170,0.09286186071,Transua,CI1405,,,,Gontougo,CI14,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.44987101276,0.51774556874,Vavoua,CI1803,,,,Haut-Sassandra,CI18,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.89515204665,0.11827434241,Yakassé-Attobrou,CI2404,Yakasse-Attobrou,,,Me,CI24,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.49917741076,0.10370686769,Yamoussoukro,CI0202,,,,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.55302997761,0.11237574005,Zouan-Hounien,CI3205,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.02919102549,0.12965154967,Zoukougbeu,CI1804,,,,Haut-Sassandra,CI18,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.41338129239,0.24354817916,Zuénoula,CI2303,Zuenoula,,,Marahoue,CI23,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
